Clinic Name,Website,Website_Status,Website_Link,Crawled_URL,Page_Title,Word_Count,Crawl_Status,Saved_Text_File
Theradynamics PT — Inwood,theradynamics.com,LIVE,https://theradynamics.com,https://theradynamics.com,Get Back To Life! with Theradynamics Physical & Occupational Therapy,372,OK,C:\Users\COB\Downloads\competitor\scraped_texts\Theradynamics_PT_Inwood.txt
Fresh Pond PT – Greenpoint,freshpondpt.com,LIVE,https://freshpondpt.com,https://freshpondpt.com,,0,"STEALTH_ERROR: It looks like you are using Playwright Sync API inside the asyncio loop.
Please use the Async API instead.",C:\Users\COB\Downloads\competitor\scraped_texts\Fresh_Pond_PT_Greenpoint.txt
Comfort Care PT,comfortcarept.com,LIVE,https://comfortcarept.com,https://comfortcarept.com,comfortcarept.com,636,OK,C:\Users\COB\Downloads\competitor\scraped_texts\Comfort_Care_PT.txt
Hands of Hope — Bedford-Stuyvesant,handsofhopeny.com,LIVE,https://handsofhopeny.com,https://handsofhopeny.com,Comprehensive Physical Therapy in NY & GA - Hands of Hope PT,2967,OK,C:\Users\COB\Downloads\competitor\scraped_texts\Hands_of_Hope_Bedford-Stuyvesant.txt
Healing Motion Physical Therapy,healingmotionpt.com,LIVE,https://healingmotionpt.com,https://healingmotionpt.com,Physical Therapy – Healing Motion Physical Therapy,3615,OK,C:\Users\COB\Downloads\competitor\scraped_texts\Healing_Motion_Physical_Therapy.txt
PT of The City — Corona,ptofthecity.com,LIVE,https://ptofthecity.com,https://ptofthecity.com,Top-Rated Physical Therapy NYC | 30+ Clinics | PT of the City,2946,OK,C:\Users\COB\Downloads\competitor\scraped_texts\PT_of_The_City_Corona.txt
Comfort Touch Physical Therapy,comforttouchpt.com,LIVE,https://comforttouchpt.com,https://comforttouchpt.com,Home | Comfort Touch Physic,9846,OK,C:\Users\COB\Downloads\competitor\scraped_texts\Comfort_Touch_Physical_Therapy.txt
MANGOOS / DYNATHERAPY PT,,NO WEBSITE,,,,0,SKIPPED_NO_URL,C:\Users\COB\Downloads\competitor\scraped_texts\MANGOOS_DYNATHERAPY_PT.txt
High Level Care,highlevelcarept.com,LIVE,https://highlevelcarept.com,https://highlevelcarept.com,HTML,195,OK,C:\Users\COB\Downloads\competitor\scraped_texts\High_Level_Care.txt
LIC Strong PT & Fitness,licstrongpt.com,LIVE,https://licstrongpt.com,https://licstrongpt.com,"LIC Strong PT | physical therapist long island city | 11-11 44th Dr 2nd floor, Long Island City, NY, USA",8743,OK,C:\Users\COB\Downloads\competitor\scraped_texts\LIC_Strong_PT_Fitness.txt
